Date,Value,Anomaly
189501,28.4,-2.8
189601,28.0,-3.2
189701,28.8,-2.4
189801,33.4,2.2
189901,29.3,-1.9
190001,30.6,-0.6
190101,31.0,-0.2
190201,28.9,-2.3
190301,28.9,-2.3
190401,23.2,-8.0
190501,26.6,-4.6
190601,35.7,4.5
190701,32.1,0.9
190801,30.3,-0.9
190901,32.1,0.9
191001,29.1,-2.1
191101,33.8,2.6
191201,22.5,-8.7
191301,39.6,8.4
191401,30.3,-0.9
191501,33.2,2.0
191601,34.7,3.5
191701,31.6,0.4
191801,20.5,-10.7
191901,34.4,3.2
192001,22.7,-8.5
192101,32.7,1.5
192201,27.5,-3.7
192301,28.8,-2.4
192401,31.6,0.4
192501,27.4,-3.8
192601,30.9,-0.3
192701,29.8,-1.4
192801,32.9,1.7
192901,30.9,-0.3
193001,32.2,1.0
193101,31.7,0.5
193201,42.1,10.9
193301,39.2,8.0
193401,33.4,2.2
193501,27.8,-3.4
193601,28.2,-3.0
193701,39.2,8.0
193801,31.0,-0.2
193901,31.1,-0.1
194001,23.9,-7.3
194101,28.3,-2.9
194201,29.6,-1.6
194301,29.7,-1.5
194401,32.8,1.6
194501,24.1,-7.1
194601,33.0,1.8
194701,36.0,4.8
194801,24.1,-7.1
194901,37.3,6.1
195001,40.4,9.2
195101,35.1,3.9
195201,34.9,3.7
195301,36.4,5.2
195401,29.8,-1.4
195501,29.9,-1.3
195601,31.2,0.0
195701,27.7,-3.5
195801,31.1,-0.1
195901,30.4,-0.8
196001,33.1,1.9
196101,26.9,-4.3
196201,31.8,0.6
196301,29.3,-1.9
196401,34.8,3.6
196501,28.8,-2.4
196601,31.3,0.1
196701,36.4,5.2
196801,25.8,-5.4
196901,30.8,-0.4
197001,24.2,-7.0
197101,26.2,-5.0
197201,34.3,3.1
197301,34.8,3.6
197401,34.4,3.2
197501,36.6,5.4
197601,26.6,-4.6
197701,21.3,-9.9
197801,27.3,-3.9
197901,32.2,1.0
198001,32.2,1.0
198101,24.8,-6.4
198201,24.7,-6.5
198301,33.1,1.9
198401,28.4,-2.8
198501,27.4,-3.8
198601,33.0,1.8
198701,31.8,0.6
198801,28.7,-2.5
198901,36.6,5.4
199001,40.5,9.3
199101,34.1,2.9
199201,34.9,3.7
199301,35.5,4.3
199401,24.7,-6.5
199501,37.4,6.2
199601,30.5,-0.7
199701,32.1,0.9
199801,40.0,8.8
199901,33.9,2.7
200001,31.3,0.1
200101,33.6,2.4
200201,39.9,8.7
200301,27.5,-3.7
200401,24.7,-6.5
200501,31.3,0.1
200601,40.9,9.7
200701,37.5,6.3
200801,36.5,5.3
200901,27.9,-3.3
201001,32.5,1.3
201101,29.7,-1.5
201201,37.3,6.1
201301,35.1,3.9
201401,28.7,-2.5
201501,30.0,-1.2
201601,34.5,3.3
201701,38.1,6.9
201801,31.8,0.6
201901,32.6,1.4
202001,39.2,8.0
202101,34.8,3.6
202201,30.4,-0.8
202301,43.5,12.3
